rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,stats_proportion_of_isr,aliases,subjects_offered,closed,unaccredited
1000195,Reporter,Donetsk National University of Economics and Trade named after Mykhailo Tuhan-Baranovsky (DonNUET),n/a,1000195,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Ukraine,722,12.4,1%,62 : 38,n/a,Donetsk National University of Economics and Trade named after Mykhailo Tuhan-Baranovsky (DonNUET),"Geography,Business & Management,Psychology,History, Philosophy & Theology,Physics & Astronomy,Politics & International Studies (incl Development Studies),General Engineering,Chemistry,Computer Science,Law,Languages, Literature & Linguistics,Mathematics & Statistics,Economics & Econometrics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance",False,False
1000196,Reporter,Dovletmammet Azadi Turkmen National Institute of World Languages,n/a,1000196,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Turkmenistan,"4,255",13.3,0%,78 : 22,n/a,Dovletmammet Azadi Turkmen National Institute of World Languages,"Languages, Literature & Linguistics,Education",False,False
1000197,Reporter,"Dr D. Y. Patil Vidyapeeth, Pune",n/a,1000197,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,India,"3,787",7.2,0%,58 : 42,8%,"Dr D. Y. Patil Vidyapeeth, Pune","Medicine & Dentistry,Biological Sciences,Business & Management",False,False
1000198,Reporter,Dr. M.G.R. Educational and Research Institute,n/a,1000198,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,India,"26,210",15.0,0%,30 : 70,38%,Dr. M.G.R. Educational and Research Institute,"General Engineering,Electrical & Electronic Engineering,Law,Chemistry,Civil Engineering,Business & Management,Sport Science,Physics & Astronomy,Politics & International Studies (incl Development Studies),Other Health,Psychology,Economics & Econometrics,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Biological Sciences,Architecture,Mathematics & Statistics,Education,Chemical Engineering,Medicine & Dentistry,Accounting & Finance,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Computer Science",False,False
1000199,Reporter,D. Serikbayev East Kazakhstan Technical University,n/a,1000199,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Kazakhstan,"4,994",14.4,3%,29 : 71,41%,D. Serikbayev East Kazakhstan Technical University,"Civil Engineering,Electrical & Electronic Engineering,General Engineering,Accounting & Finance,Economics & Econometrics,Business & Management,Computer Science,Mathematics & Statistics,Architecture,Mechanical & Aerospace Engineering,Agriculture & Forestry,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design",False,False
1000200,Reporter,University of Dubai,n/a,1000200,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Arab Emirates,"1,147",21.0,24%,29 : 71,34%,University of Dubai,"Business & Management,Computer Science,Accounting & Finance,Law,Electrical & Electronic Engineering",False,False
1000201,Reporter,University of Duhok,n/a,1000201,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Iraq,"23,989",12.8,1%,56 : 44,23%,University of Duhok,"Languages, Literature & Linguistics,Education,Mathematics & Statistics,Sociology,History, Philosophy & Theology,Veterinary Science,Accounting & Finance,Civil Engineering,Law,Agriculture & Forestry,Physics & Astronomy,Other Health,Medicine & Dentistry,Biological Sciences,Business & Management,Electrical & Electronic Engineering,General Engineering,Art, Performing Arts & Design,Geography,Mechanical & Aerospace Engineering,Chemistry,Psychology,Computer Science,Economics & Econometrics,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences",False,False
1000202,Reporter,Dulaty University,n/a,1000202,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Kazakhstan,"10,346",11.6,15%,54 : 46,n/a,Dulaty University,"Art, Performing Arts & Design,Architecture,Physics & Astronomy,History, Philosophy & Theology,Chemical Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Chemistry,Computer Science,General Engineering,Sociology,Civil Engineering,Business & Management,Mathematics & Statistics,Communication & Media Studies,Economics & Econometrics,Agriculture & Forestry,Education,Psychology,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Accounting & Finance,Law,Languages, Literature & Linguistics",False,False
1000203,Reporter,EAE Business School,n/a,1000203,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Spain,"1,667",7.2,48%,47 : 53,22%,EAE Business School,"Business & Management,Accounting & Finance,Communication & Media Studies",False,False
1000204,Reporter,EAN University,n/a,1000204,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Colombia,"11,929",22.0,1%,55 : 45,36%,EAN University,"Chemical Engineering,General Engineering,Economics & Econometrics,Business & Management,Psychology,Languages, Literature & Linguistics,Civil Engineering,Accounting & Finance,Electrical & Electronic Engineering",False,False
1000205,Reporter,University of Eastern Philippines,n/a,1000205,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Philippines,"17,337",42.4,0%,59 : 41,15%,University of Eastern Philippines,"Civil Engineering,Business & Management,Art, Performing Arts & Design,Biological Sciences,Law,Communication & Media Studies,Other Health,Mechanical & Aerospace Engineering,Mathematics & Statistics,Sociology,Geology, Environmental, Earth & Marine Sciences,General Engineering,Education,Languages, Literature & Linguistics,Accounting & Finance,Electrical & Electronic Engineering,Computer Science,Agriculture & Forestry,Chemistry,Politics & International Studies (incl Development Studies),Economics & Econometrics,Veterinary Science",False,False
1000206,Reporter,École Nationale Polytechnique,n/a,1000206,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,"1,773",10.2,0%,38 : 62,49%,École Nationale Polytechnique,"General Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering",False,False
1000207,Reporter,École Nationale Polytechnique d’Oran Maurice Audin,n/a,1000207,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,"2,004",12.8,0%,32 : 68,40%,École Nationale Polytechnique d’Oran Maurice Audin,,False,False
1000208,Reporter,École Nationale Supérieure Agronomique,n/a,1000208,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,"1,125",7.6,0%,76 : 24,17%,École Nationale Supérieure Agronomique,Agriculture & Forestry,False,False
1000209,Reporter,"École Nationale Supérieure Agronomique, Algiers",n/a,1000209,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,350,11.7,0%,74 : 26,n/a,"École Nationale Supérieure Agronomique, Algiers",Agriculture & Forestry,False,False
1000210,Reporter,École Nationale Supérieure de Biotechnologie Taoufik Khaznadar (ENSB),n/a,1000210,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,"1,227",15.1,0%,78 : 22,n/a,École Nationale Supérieure de Biotechnologie Taoufik Khaznadar (ENSB),Biological Sciences,False,False
1000211,Reporter,École Nationale Supérieure d’Informatique (ESI),n/a,1000211,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,"1,202",9.8,0%,50 : 50,n/a,École Nationale Supérieure d’Informatique (ESI),Computer Science,False,False
1000212,Reporter,École Nationale Supérieure de Management Koléa,n/a,1000212,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,606,16.4,0%,67 : 33,n/a,École Nationale Supérieure de Management Koléa,"Business & Management,Economics & Econometrics,Accounting & Finance",False,False
1000213,Reporter,École Nationale Supérieure des Sciences de la Mer et de l’Aménagement du Littoral (ENSSMAL),n/a,1000213,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,888,12.0,0%,51 : 49,n/a,École Nationale Supérieure des Sciences de la Mer et de l’Aménagement du Littoral (ENSSMAL),"Biological Sciences,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences",False,False
1000214,Reporter,École Nationale Supérieure Vétérinaire d’Alger,n/a,1000214,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,694,8.5,0%,55 : 45,21%,École Nationale Supérieure Vétérinaire d’Alger,Veterinary Science,False,False
1000215,Reporter,École National Polytechnique de Constantine,n/a,1000215,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,966,13.4,0%,41 : 59,n/a,École National Polytechnique de Constantine,"Chemical Engineering,General Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",False,False
1000216,Reporter,École Normale Supérieure de Béchar,n/a,1000216,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,307,6.5,0%,100 : 0,n/a,École Normale Supérieure de Béchar,Education,False,False
1000217,Reporter,École Normale Supérieure de Bouzaréah,n/a,1000217,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,"5,345",15.1,0%,91 : 9,n/a,École Normale Supérieure de Bouzaréah,Education,False,False
1000218,Reporter,École Normale Supérieure El Katiba Assia Djebar Constantine (ENSC),n/a,1000218,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,"3,886",14.3,0%,93 : 7,50%,École Normale Supérieure El Katiba Assia Djebar Constantine (ENSC),"Education,Mathematics & Statistics,History, Philosophy & Theology,Biological Sciences,Geography,Computer Science,Languages, Literature & Linguistics,Chemistry,Sport Science",False,False
1000219,Reporter,École Normale Supérieure de Kouba,n/a,1000219,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,"3,251",10.1,0%,84 : 16,37%,École Normale Supérieure de Kouba,"Education,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Chemistry,Computer Science,Mathematics & Statistics,Art, Performing Arts & Design,Biological Sciences",False,False
1000220,Reporter,École Normale Supérieure de Laghouat,n/a,1000220,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,"2,675",17.4,0%,77 : 23,n/a,École Normale Supérieure de Laghouat,Education,False,False
1000221,Reporter,École Normale Supérieure d’Oran,n/a,1000221,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,626,10.6,%,92 : 8,n/a,École Normale Supérieure d’Oran,Education,False,False
1000222,Reporter,École Polytechnique d’Architecture et d’Urbanisme,n/a,1000222,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,"1,386",10.3,0%,65 : 35,n/a,École Polytechnique d’Architecture et d’Urbanisme,Architecture,False,False
1000223,Reporter,École Supérieure de Comptabilité et de Finances de Constantine,n/a,1000223,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,786,15.1,0%,81 : 19,n/a,École Supérieure de Comptabilité et de Finances de Constantine,Accounting & Finance,False,False
1000224,Reporter,École Supérieure en Informatique 8 Mai 1945 de Sidi-Bel-Abbès,n/a,1000224,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,899,17.6,0%,34 : 66,n/a,École Supérieure en Informatique 8 Mai 1945 de Sidi-Bel-Abbès,Computer Science,False,False
1000225,Reporter,École Supérieure en Sciences Appliquées de Tlemcen,n/a,1000225,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,801,8.8,0%,45 : 55,n/a,École Supérieure en Sciences Appliquées de Tlemcen,Electrical & Electronic Engineering,False,False
1000226,Reporter,École Supérieure en Sciences Biologiques d’Oran (ESSBO),n/a,1000226,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,493,14.1,0%,83 : 17,n/a,École Supérieure en Sciences Biologiques d’Oran (ESSBO),Biological Sciences,False,False
1000227,Reporter,École Supérieure en Sciences et Technologies de l’Informatique et du Numérique (ESTIN),n/a,1000227,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,520,17.3,0%,,n/a,École Supérieure en Sciences et Technologies de l’Informatique et du Numérique (ESTIN),"Computer Science,General Engineering,Electrical & Electronic Engineering",False,False
1000228,Reporter,University of Economics – Varna,n/a,1000228,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Bulgaria,"7,899",36.4,4%,60 : 40,27%,University of Economics – Varna,"Economics & Econometrics,Accounting & Finance,Agriculture & Forestry,Computer Science,Business & Management,Politics & International Studies (incl Development Studies),Communication & Media Studies",False,False
1000229,Reporter,Edo State University Uzairue,n/a,1000229,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Nigeria,"3,031",15.4,0%,51 : 49,26%,Edo State University Uzairue,"Accounting & Finance,Other Health,Mathematics & Statistics,Communication & Media Studies,Computer Science,Mechanical & Aerospace Engineering,Business & Management,Electrical & Electronic Engineering,Civil Engineering,Biological Sciences,Law,Medicine & Dentistry,Physics & Astronomy,Chemistry,Chemical Engineering,Economics & Econometrics,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Sociology,History, Philosophy & Theology",False,False
1000230,Reporter,Edwin Clark University,n/a,1000230,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Nigeria,775,9.9,0%,60 : 40,0%,Edwin Clark University,,False,False
1000231,Reporter,Effat University,n/a,1000231,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Saudi Arabia,"1,070",11.6,34%,99 : 1,41%,Effat University,"Psychology,Architecture,Art, Performing Arts & Design,Business & Management,Languages, Literature & Linguistics,Computer Science,Accounting & Finance,Electrical & Electronic Engineering",False,False
1000232,Reporter,Egerton University,n/a,1000232,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Kenya,"26,399",55.1,1%,36 : 64,23%,Egerton University,"Law,Business & Management,Veterinary Science,Art, Performing Arts & Design,Geography,Languages, Literature & Linguistics,General Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Mathematics & Statistics,Computer Science,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Education,History, Philosophy & Theology,Psychology,Other Health,Biological Sciences,Communication & Media Studies,Economics & Econometrics,Sociology,Chemistry,Agriculture & Forestry,Physics & Astronomy,Electrical & Electronic Engineering",False,False
1000233,Reporter,Egyptian Russian University,n/a,1000233,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Egypt,"6,152",13.0,2%,40 : 60,29%,Egyptian Russian University,"Computer Science,Medicine & Dentistry,Business & Management,Economics & Econometrics,General Engineering,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Accounting & Finance,Civil Engineering",False,False
1000234,Reporter,Elizade University,n/a,1000234,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Nigeria,"1,458",9.6,0%,45 : 55,37%,Elizade University,"General Engineering,Computer Science,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Mathematics & Statistics,Architecture,Politics & International Studies (incl Development Studies),Biological Sciences,Sociology,Civil Engineering,Accounting & Finance,Chemistry,Mechanical & Aerospace Engineering,Business & Management,Electrical & Electronic Engineering,Law,Art, Performing Arts & Design,Communication & Media Studies,Economics & Econometrics",False,False
1000235,Reporter,University of El Oued,n/a,1000235,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,"27,370",33.3,0%,57 : 43,32%,University of El Oued,"Computer Science,Communication & Media Studies,Accounting & Finance,Agriculture & Forestry,Languages, Literature & Linguistics,Physics & Astronomy,Mathematics & Statistics,History, Philosophy & Theology,Chemistry,Business & Management,Chemical Engineering,Education,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Sociology,Politics & International Studies (incl Development Studies),Civil Engineering,Law,Economics & Econometrics,Biological Sciences,Psychology",False,False
1000236,Reporter,Emir Abdelkader University of Islamic Sciences,n/a,1000236,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,"5,538",19.6,0%,73 : 27,n/a,Emir Abdelkader University of Islamic Sciences,"Archaeology,Law,Accounting & Finance,Communication & Media Studies,Languages, Literature & Linguistics,History, Philosophy & Theology,Business & Management",False,False
1000237,Reporter,"Institute of Engineering, Technical and Transport Communications of Turkmenistan",n/a,1000237,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Turkmenistan,"2,760",14.2,1%,38 : 62,n/a,"Institute of Engineering, Technical and Transport Communications of Turkmenistan","Business & Management,Electrical & Electronic Engineering,Chemistry,Physics & Astronomy,Mathematics & Statistics,Architecture,Accounting & Finance,Computer Science,Economics & Econometrics,Languages, Literature & Linguistics,Communication & Media Studies,Mechanical & Aerospace Engineering,Sport Science,General Engineering,Geology, Environmental, Earth & Marine Sciences",False,False
1000238,Reporter,Escola Superior de Enfermagem do Porto (ESEP),n/a,1000238,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Portugal,"1,600",9.4,0%,85 : 15,6%,Escola Superior de Enfermagem do Porto (ESEP),Education,False,False
1000239,Reporter,Escuela Superior Politécnica de Chimborazo,n/a,1000239,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Ecuador,"21,744",21.4,0%,50 : 50,21%,Escuela Superior Politécnica de Chimborazo,"Mechanical & Aerospace Engineering,Business & Management,Chemical Engineering,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Physics & Astronomy,Veterinary Science,Chemistry,Other Health,Computer Science,Electrical & Electronic Engineering,Accounting & Finance,Mathematics & Statistics",False,False
1000240,Reporter,ESIC University,n/a,1000240,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Spain,"6,169",19.6,10%,45 : 55,n/a,ESIC University,"Communication & Media Studies,Business & Management",False,False
1000241,Reporter,Eskişehir Technical University,n/a,1000241,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Turkey,"14,836",21.6,2%,41 : 59,n/a,Eskişehir Technical University,"Sport Science,Civil Engineering,Biological Sciences,Chemical Engineering,Computer Science,Electrical & Electronic Engineering,Mathematics & Statistics,General Engineering,Architecture,Physics & Astronomy,Mechanical & Aerospace Engineering,Chemistry",False,False
1000242,Reporter,Universidade Estadual do Maranhão,n/a,1000242,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Brazil,"18,445",16.0,0%,61 : 39,15%,Universidade Estadual do Maranhão,"Veterinary Science,Chemistry,History, Philosophy & Theology,Law,Architecture,Education,Medicine & Dentistry,Psychology,Sociology,Languages, Literature & Linguistics,Geography,Civil Engineering,Sport Science,Biological Sciences",False,False
1000243,Reporter,Universidade Estadual do Norte do Paraná (UENP),n/a,1000243,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Brazil,"5,443",7.5,0%,59 : 41,n/a,Universidade Estadual do Norte do Paraná (UENP),"Law,Education,Business & Management,Economics & Econometrics,Languages, Literature & Linguistics,Agriculture & Forestry,Accounting & Finance,Sport Science,Mathematics & Statistics,Biological Sciences,Geography,Veterinary Science,Medicine & Dentistry,Computer Science,History, Philosophy & Theology",False,False
1000244,Reporter,European University,n/a,1000244,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Georgia,"1,428",1.6,73%,40 : 60,n/a,European University,"Computer Science,Veterinary Science,Law,Politics & International Studies (incl Development Studies),Psychology,Business & Management,Education,Medicine & Dentistry",False,False
1000245,Reporter,European University of Armenia,n/a,1000245,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Armenia,"2,027",8.4,7%,46 : 54,n/a,European University of Armenia,"Electrical & Electronic Engineering,Psychology,Education,Languages, Literature & Linguistics,Business & Management,Computer Science,Law,Accounting & Finance,Politics & International Studies (incl Development Studies),Economics & Econometrics",False,False
1000246,Reporter,European University Cyprus,n/a,1000246,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Cyprus,"5,978",19.5,54%,58 : 42,11%,European University Cyprus,"General Engineering,Art, Performing Arts & Design,Electrical & Electronic Engineering,Computer Science,Economics & Econometrics,Accounting & Finance,History, Philosophy & Theology,Law,Medicine & Dentistry,Education,Languages, Literature & Linguistics,Other Health,Psychology,Archaeology,Business & Management,Biological Sciences,Sport Science",False,False
1000247,Reporter,European University of Tunis,n/a,1000247,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Tunisia,358,3.9,15%,48 : 52,n/a,European University of Tunis,"Accounting & Finance,Communication & Media Studies,Computer Science,Business & Management,Politics & International Studies (incl Development Studies),Law",False,False
1000248,Reporter,"Evangel University, Akaeze",n/a,1000248,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Nigeria,"1,123",7.7,0%,57 : 43,n/a,"Evangel University, Akaeze","Art, Performing Arts & Design,Physics & Astronomy,Computer Science,Mathematics & Statistics,Accounting & Finance,Chemical Engineering,Sociology,Other Health,Psychology,History, Philosophy & Theology,Economics & Econometrics,Biological Sciences,Chemistry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Business & Management,Languages, Literature & Linguistics",False,False
1000249,Reporter,Falmouth University,n/a,1000249,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Kingdom,"4,660",16.6,13%,56 : 44,17%,Falmouth University,"Business & Management,Communication & Media Studies,Art, Performing Arts & Design,Languages, Literature & Linguistics,Architecture,Computer Science",False,False
1000250,Reporter,Federal University of Kashere,n/a,1000250,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Nigeria,"10,857",21.5,0%,29 : 71,n/a,Federal University of Kashere,"Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Physics & Astronomy,Education,Languages, Literature & Linguistics,Accounting & Finance,Business & Management,Geography,Sociology,Agriculture & Forestry,Mathematics & Statistics,Economics & Econometrics,Biological Sciences,Computer Science,Chemistry",False,False
1000251,Reporter,Federal University of Latin American Integration (UNILA),n/a,1000251,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Brazil,"5,547",16.1,32%,51 : 49,n/a,Federal University of Latin American Integration (UNILA),"Chemical Engineering,History, Philosophy & Theology,Physics & Astronomy,Medicine & Dentistry,Mathematics & Statistics,Education,Art, Performing Arts & Design,Electrical & Electronic Engineering,Sociology,Languages, Literature & Linguistics,Biological Sciences,Economics & Econometrics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Architecture,Mechanical & Aerospace Engineering,Geography,Archaeology,Chemistry,Other Health,Communication & Media Studies,General Engineering,Politics & International Studies (incl Development Studies),Business & Management",False,False
1000252,Reporter,Federal University of Paraí­ba (UFPB),n/a,1000252,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Brazil,"38,158",13.9,0%,0 : 100,24%,Federal University of Paraí­ba (UFPB),"Education,Other Health,Biological Sciences,Law,Architecture,Sport Science,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Accounting & Finance,Medicine & Dentistry,Veterinary Science,Politics & International Studies (incl Development Studies),Computer Science,Agriculture & Forestry,Geography,Art, Performing Arts & Design,Chemical Engineering,Sociology,Economics & Econometrics,Languages, Literature & Linguistics,Civil Engineering,Chemistry,General Engineering,Physics & Astronomy,History, Philosophy & Theology,Mathematics & Statistics,Psychology,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences",False,False
1000253,Reporter,"Federal University of Petroleum Resources, Effurun",n/a,1000253,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Nigeria,"6,127",40.0,0%,17 : 83,n/a,"Federal University of Petroleum Resources, Effurun","Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Geology, Environmental, Earth & Marine Sciences,Chemistry,Electrical & Electronic Engineering,Mathematics & Statistics,Physics & Astronomy,Chemical Engineering,Computer Science",False,False
1000254,Reporter,"Federal University of Technology, Minna",n/a,1000254,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Nigeria,"25,114",25.7,0%,23 : 77,43%,"Federal University of Technology, Minna","Chemical Engineering,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Electrical & Electronic Engineering,Education,Mechanical & Aerospace Engineering,Agriculture & Forestry,Civil Engineering,Chemistry,Architecture,Physics & Astronomy,General Engineering,Mathematics & Statistics,Computer Science,Geography",False,False
1000255,Reporter,"Federal University of Technology, Owerri",n/a,1000255,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Nigeria,"25,099",19.2,0%,30 : 70,42%,"Federal University of Technology, Owerri","Chemical Engineering,Chemistry,Computer Science,Medicine & Dentistry,General Engineering,Civil Engineering,Physics & Astronomy,Electrical & Electronic Engineering,Veterinary Science,Architecture,Biological Sciences,Mechanical & Aerospace Engineering,Mathematics & Statistics,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Other Health",False,False
1000256,Reporter,Fergana Medical Institute of Public Health,n/a,1000256,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Uzbekistan,"1,804",15.8,2%,49 : 51,n/a,Fergana Medical Institute of Public Health,"Psychology,Languages, Literature & Linguistics,Medicine & Dentistry,Mathematics & Statistics,Biological Sciences,Other Health,History, Philosophy & Theology,Chemistry,Computer Science",False,False
1000257,Reporter,Fergana Polytechnic Institute,n/a,1000257,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Uzbekistan,"15,621",25.1,0%,20 : 80,n/a,Fergana Polytechnic Institute,"Chemical Engineering,Business & Management,Architecture,Economics & Econometrics,Civil Engineering,Mechanical & Aerospace Engineering,Accounting & Finance,Electrical & Electronic Engineering,General Engineering,Chemistry,Computer Science,Physics & Astronomy,Agriculture & Forestry,Education",False,False
1000258,Reporter,Fergana State University,n/a,1000258,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Uzbekistan,"18,359",20.0,1%,62 : 38,21%,Fergana State University,"Civil Engineering,Mathematics & Statistics,Accounting & Finance,Computer Science,Chemistry,Business & Management,Agriculture & Forestry,Physics & Astronomy,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Archaeology,Sport Science,Economics & Econometrics,Art, Performing Arts & Design,General Engineering,Law,Electrical & Electronic Engineering,Education,History, Philosophy & Theology,Geography,Chemical Engineering,Sociology,Languages, Literature & Linguistics,Biological Sciences,Psychology",False,False
1000259,Reporter,Finis Terrae University,n/a,1000259,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Chile,"10,313",8.4,2%,60 : 40,14%,Finis Terrae University,"Psychology,Other Health,Law,Accounting & Finance,Communication & Media Studies,Architecture,Civil Engineering,History, Philosophy & Theology,Art, Performing Arts & Design,General Engineering,Education,Medicine & Dentistry,Sociology,Business & Management,Languages, Literature & Linguistics",False,False
1000260,Reporter,Forman Christian College,n/a,1000260,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Pakistan,"5,340",18.3,0%,46 : 54,n/a,Forman Christian College,"Chemistry,Politics & International Studies (incl Development Studies),Accounting & Finance,Other Health,Computer Science,Education,Geography,Economics & Econometrics,Physics & Astronomy,Biological Sciences,Sociology,Art, Performing Arts & Design,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Psychology,Mathematics & Statistics,Business & Management,Languages, Literature & Linguistics",False,False
1000261,Reporter,Fountain University,n/a,1000261,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Nigeria,"1,376",10.7,0%,59 : 41,29%,Fountain University,"Medicine & Dentistry,Business & Management,Sociology,Law,Biological Sciences,Other Health,Physics & Astronomy,Economics & Econometrics,Computer Science,Accounting & Finance,Politics & International Studies (incl Development Studies),Chemistry",False,False
1000262,Reporter,University of Franca,n/a,1000262,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Brazil,"47,750",107.3,0%,57 : 43,21%,University of Franca,"Accounting & Finance,Chemistry,Mechanical & Aerospace Engineering,Psychology,Veterinary Science,Physics & Astronomy,Business & Management,Economics & Econometrics,Agriculture & Forestry,Education,Mathematics & Statistics,Architecture,History, Philosophy & Theology,Civil Engineering,Computer Science,Art, Performing Arts & Design,Geography,General Engineering,Communication & Media Studies,Politics & International Studies (incl Development Studies),Sport Science,Languages, Literature & Linguistics,Law,Geology, Environmental, Earth & Marine Sciences,Other Health,Sociology,Electrical & Electronic Engineering,Medicine & Dentistry,Chemical Engineering,Biological Sciences",False,False
